genre,color,font_size,left,top
campursari,"rgb(152, 153, 18)",100%,690px,7774px
gothenburg hip hop,"rgb(161, 139, 8)",100%,1046px,10157px
belarusian rock,"rgb(188, 116, 21)",100%,562px,6303px
belarusian electronic,"rgb(190, 141, 180)",100%,1101px,1112px
classic hungarian rock,"rgb(167, 118, 22)",100%,507px,10818px
polca paraguaya,"rgb(100, 157, 94)",100%,896px,17633px
czech country,"rgb(131, 140, 6)",100%,714px,13479px
chamber folk,"rgb(77, 161, 57)",100%,472px,16686px
german opera,"rgb(49, 143, 61)",100%,284px,21688px
bangladeshi rock,"rgb(172, 124, 17)",100%,564px,7640px
college a cappella,"rgb(124, 145, 4)",100%,529px,13862px
musica andina colombiana,"rgb(136, 147, 36)",100%,1059px,13442px
ghent indie,"rgb(138, 141, 68)",100%,619px,9464px
classic luk thung,"rgb(114, 153, 4)",100%,589px,13764px
scratch,"rgb(171, 113, 75)",100%,1145px,5659px
neo-pagan,"rgb(101, 152, 45)",100%,511px,13725px
afro-cuban percussion,"rgb(157, 120, 90)",100%,1059px,16169px
singing bowl,"rgb(39, 168, 187)",100%,156px,19543px
north carolina metal,"rgb(208, 89, 82)",100%,215px,9810px
portland punk,"rgb(207, 89, 58)",100%,324px,10244px
persian underground hip hop,"rgb(171, 134, 15)",100%,936px,11758px
afghan rap,"rgb(171, 138, 25)",100%,1121px,7007px
orchestral performance,"rgb(44, 150, 132)",100%,363px,20861px
spanish folk,"rgb(119, 148, 33)",100%,628px,14566px
png pop,"rgb(157, 138, 20)",100%,886px,4404px
bouzouki,"rgb(110, 152, 94)",100%,768px,15322px
korean worship,"rgb(99, 158, 65)",100%,478px,14207px
australian ska,"rgb(198, 111, 21)",100%,744px,7712px
long island punk,"rgb(220, 85, 30)",100%,269px,9291px
portuguese indie,"rgb(139, 142, 69)",100%,610px,9711px
exotica,"rgb(100, 140, 115)",100%,647px,16960px
oud,"rgb(86, 158, 135)",100%,816px,18522px
truck-driving country,"rgb(123, 136, 19)",100%,881px,13607px
oth indie,"rgb(146, 141, 29)",100%,468px,9243px
choro,"rgb(97, 158, 144)",100%,912px,17793px
turkish metal,"rgb(199, 102, 75)",100%,336px,6761px
pinoy praise,"rgb(116, 151, 11)",100%,444px,12030px
dreampunk,"rgb(119, 136, 190)",100%,271px,12938px
one-person band,"rgb(156, 127, 71)",100%,597px,9997px
detroit techno,"rgb(179, 134, 187)",100%,1193px,1407px
symfonicky orchestr,"rgb(66, 154, 165)",100%,188px,18596px
british dance band,"rgb(66, 143, 80)",100%,816px,20318px
beats,"rgb(129, 148, 184)",100%,1168px,3033px
swiss house,"rgb(184, 145, 197)",100%,1381px,201px
polish death metal,"rgb(233, 59, 112)",100%,134px,8524px
emo punk,"rgb(187, 112, 47)",100%,346px,10022px
musica eletronica gospel,"rgb(192, 135, 49)",100%,744px,2855px
chinese talent show,"rgb(141, 148, 45)",100%,719px,8549px
tennessee metal,"rgb(212, 84, 102)",100%,199px,9068px
taiwan rock,"rgb(182, 121, 27)",100%,411px,5441px
neo-rockabilly,"rgb(192, 112, 19)",100%,766px,11139px
bardcore,"rgb(127, 152, 176)",100%,798px,4821px
musica popular amazonense,"rgb(170, 137, 14)",100%,908px,11127px
lebanese indie,"rgb(124, 147, 56)",100%,631px,10892px
bisaya rap,"rgb(137, 151, 28)",100%,1094px,8973px
slam poetry,"rgb(118, 125, 8)",100%,1077px,15325px
gaita zuliana,"rgb(193, 116, 12)",100%,1055px,12299px
nwocr,"rgb(210, 105, 19)",100%,288px,5137px
musica michoacana,"rgb(148, 146, 12)",100%,975px,13582px
chinese audiophile,"rgb(90, 163, 6)",100%,584px,14458px
powerviolence,"rgb(221, 53, 124)",100%,183px,10817px
progressive doom,"rgb(178, 118, 89)",100%,159px,9166px
trio huasteco,"rgb(124, 154, 11)",100%,918px,15347px
taiwan campus folk,"rgb(96, 156, 8)",100%,444px,14345px
louvor icm,"rgb(106, 161, 50)",100%,426px,13150px
austrian dnb,"rgb(215, 132, 141)",100%,966px,1959px
norsk lovsang,"rgb(126, 145, 13)",100%,436px,10893px
classic hungarian pop,"rgb(149, 132, 9)",100%,739px,10477px
polish black metal,"rgb(215, 65, 130)",100%,90px,9291px
marimba orquesta,"rgb(161, 150, 82)",100%,1163px,9102px
puerto rican folk,"rgb(143, 135, 12)",100%,993px,14927px
musica indigena latinoamericana,"rgb(143, 143, 14)",100%,914px,13143px
future ambient,"rgb(140, 151, 184)",100%,962px,3714px
old west,"rgb(130, 146, 193)",100%,890px,14256px
armenian hip hop,"rgb(165, 136, 8)",100%,1035px,8862px
uk bass,"rgb(184, 134, 172)",100%,1138px,2380px
deep christian rock,"rgb(141, 130, 21)",100%,574px,9194px
jazzy dnb,"rgb(217, 139, 182)",100%,1127px,1015px
marathi remix,"rgb(229, 99, 30)",100%,869px,3866px
polish indie rock,"rgb(175, 125, 52)",100%,418px,6450px
classic japanese jazz,"rgb(106, 143, 125)",100%,709px,14964px
visor,"rgb(71, 152, 11)",100%,865px,18625px
ok indie,"rgb(148, 134, 39)",100%,532px,10659px
punk euskera,"rgb(225, 90, 29)",100%,426px,5662px
turkish electronic,"rgb(147, 147, 169)",100%,900px,3944px
canadian blues,"rgb(151, 128, 14)",100%,724px,12438px
pennsylvania hardcore,"rgb(229, 72, 57)",100%,249px,11201px
piano mpb,"rgb(88, 157, 157)",100%,777px,17649px
afro-funk,"rgb(186, 123, 56)",100%,1040px,8813px
western mass indie,"rgb(154, 129, 53)",100%,483px,11784px
football,"rgb(172, 80, 99)",100%,487px,15624px
stockholm indie,"rgb(163, 132, 50)",100%,405px,8756px
vocaloid metal,"rgb(215, 105, 50)",100%,317px,2970px
musica baiana,"rgb(128, 148, 27)",100%,894px,11091px
beatdown,"rgb(228, 83, 44)",100%,336px,9723px
paraguayan rock,"rgb(188, 121, 23)",100%,582px,6217px
irish neo-traditional,"rgb(111, 161, 51)",100%,513px,15325px
nl folk,"rgb(137, 143, 14)",100%,656px,11089px
dark folk,"rgb(86, 154, 130)",100%,371px,15181px
wassoulou,"rgb(156, 138, 23)",100%,969px,11152px
nz christian,"rgb(135, 141, 10)",100%,432px,10598px
nz children's music,"rgb(109, 151, 23)",100%,1031px,13029px
tamaulipas indie,"rgb(187, 122, 13)",100%,420px,5513px
musica afroperuana,"rgb(144, 139, 25)",100%,1103px,13503px
ghanaian gospel,"rgb(170, 138, 6)",100%,747px,9352px
ohio indie,"rgb(160, 124, 45)",100%,399px,11276px
hindustani vocal,"rgb(103, 143, 59)",100%,465px,18453px
grebo,"rgb(194, 105, 41)",100%,416px,5338px
pop costarricense,"rgb(169, 142, 9)",100%,1036px,10551px
alt-idol,"rgb(223, 108, 25)",100%,440px,2511px
bouyon,"rgb(184, 138, 9)",100%,1096px,4278px
musica catarinense,"rgb(136, 148, 23)",100%,818px,10440px
dc indie,"rgb(161, 130, 59)",100%,509px,9129px
italo house,"rgb(167, 132, 124)",100%,944px,3128px
progressive alternative,"rgb(183, 122, 48)",100%,326px,7147px
atmospheric post-metal,"rgb(170, 112, 162)",100%,150px,10647px
birmingham indie,"rgb(167, 130, 30)",100%,432px,7444px
minimal dub,"rgb(189, 139, 215)",100%,1092px,1382px
dutch moombahton,"rgb(179, 136, 59)",100%,1212px,2855px
indian electronic,"rgb(161, 145, 152)",100%,998px,4154px
waiata maori,"rgb(118, 145, 17)",100%,768px,11598px
british comedy,"rgb(107, 114, 8)",100%,1118px,18022px
jazz catala,"rgb(97, 150, 119)",100%,883px,17821px
german hyperpop,"rgb(152, 154, 9)",100%,835px,5166px
tuareg guitar,"rgb(150, 142, 59)",100%,850px,13180px
neofolk,"rgb(129, 130, 108)",100%,324px,11565px
japanese heavy metal,"rgb(220, 88, 45)",100%,245px,6997px
australian ambient,"rgb(82, 147, 200)",100%,361px,15038px
halftime dnb,"rgb(190, 132, 125)",100%,960px,3829px
zambian hip hop,"rgb(177, 139, 6)",100%,1035px,11078px
skramz,"rgb(201, 87, 115)",100%,184px,11387px
melodic black metal,"rgb(215, 76, 128)",100%,94px,9042px
musica paraibana,"rgb(148, 141, 19)",100%,854px,10490px
kazakh indie,"rgb(144, 144, 43)",100%,894px,7132px
british grindcore,"rgb(227, 41, 130)",100%,97px,11150px
spanish noise pop,"rgb(179, 125, 79)",100%,359px,6973px
balkan drill,"rgb(161, 146, 11)",100%,1002px,6209px
musica mixteca,"rgb(169, 143, 28)",100%,1036px,11535px
japanese indie folk,"rgb(107, 152, 51)",100%,634px,14664px
belgian indie rock,"rgb(166, 123, 86)",100%,403px,8279px
ska catala,"rgb(193, 124, 10)",100%,846px,5500px
blues latinoamericano,"rgb(169, 125, 25)",100%,634px,10917px
san antonio rap,"rgb(145, 148, 8)",100%,1059px,6672px
jazz worship,"rgb(113, 153, 147)",100%,687px,10539px
maine indie,"rgb(142, 137, 41)",100%,522px,12451px
musique militaire,"rgb(103, 116, 81)",100%,507px,20043px
indonesian psychedelia,"rgb(145, 143, 37)",100%,589px,9636px
deep disco,"rgb(180, 115, 47)",100%,1066px,4252px
indie emo,"rgb(185, 114, 69)",100%,505px,8660px
utah indie,"rgb(136, 142, 26)",100%,470px,10269px
ilahiler,"rgb(108, 146, 18)",100%,562px,15296px
c-pop girl group,"rgb(183, 132, 20)",100%,698px,4519px
dansei seiyu,"rgb(196, 115, 22)",100%,472px,4288px
chinese worship,"rgb(107, 153, 30)",100%,432px,13282px
viral pop brasileiro,"rgb(147, 150, 11)",100%,1042px,9811px
telugu devotional,"rgb(144, 137, 13)",100%,928px,14874px
bay area hip hop,"rgb(164, 135, 9)",100%,1125px,5067px
tinku,"rgb(172, 128, 12)",100%,867px,11722px
jazz vibraphone,"rgb(90, 150, 93)",100%,934px,17448px
musica guerrerense,"rgb(139, 143, 9)",100%,1094px,13379px
sinhala rap,"rgb(160, 147, 16)",100%,1038px,8724px
greek swing,"rgb(126, 146, 40)",100%,829px,12798px
new orleans americana,"rgb(122, 145, 16)",100%,761px,14433px
polynesian hip hop,"rgb(167, 133, 3)",100%,1068px,7799px
bruneian pop,"rgb(139, 144, 54)",100%,706px,8169px
york indie,"rgb(169, 125, 21)",100%,332px,9304px
dancehall colombiano,"rgb(182, 136, 3)",100%,1204px,4706px
rochester ny indie,"rgb(160, 124, 41)",100%,472px,11189px
black 'n' roll,"rgb(226, 60, 121)",100%,102px,9364px
cinematic post-rock,"rgb(117, 149, 201)",100%,204px,11077px
italian gothic metal,"rgb(201, 110, 58)",100%,186px,6168px
epunk,"rgb(178, 103, 70)",100%,371px,8781px
instrumental progressive metal,"rgb(202, 110, 190)",100%,262px,5526px
deep soft rock,"rgb(131, 141, 35)",100%,732px,9233px
canadian indigenous,"rgb(125, 142, 39)",100%,719px,11101px
idaho indie,"rgb(160, 127, 59)",100%,395px,10991px
sci-fi metal,"rgb(201, 96, 96)",100%,152px,6885px
chasidic pop,"rgb(168, 128, 12)",100%,602px,9612px
italian gothic,"rgb(180, 124, 82)",100%,284px,5872px
drill beats,"rgb(118, 164, 173)",100%,1221px,2538px
gothic alternative,"rgb(210, 107, 13)",100%,305px,4419px
tunantada,"rgb(167, 136, 8)",100%,914px,13827px
death 'n' roll,"rgb(231, 71, 110)",100%,175px,9562px
rockabilly en espanol,"rgb(190, 115, 25)",100%,640px,8709px
polish synthpop,"rgb(161, 136, 57)",100%,595px,5539px
montenegrin pop,"rgb(183, 124, 9)",100%,805px,6335px
punk chileno,"rgb(220, 93, 31)",100%,342px,9117px
gospel reggae,"rgb(155, 143, 14)",100%,995px,6822px
raggatek,"rgb(234, 122, 120)",100%,918px,1535px
lithuanian hip hop,"rgb(162, 137, 25)",100%,1096px,5030px
warrington indie,"rgb(180, 123, 43)",100%,434px,5872px
scouse rap,"rgb(148, 138, 3)",100%,1123px,9663px
musica yucateca,"rgb(97, 150, 19)",100%,869px,16702px
czech metal,"rgb(222, 89, 59)",100%,266px,6278px
sepedi pop,"rgb(187, 133, 17)",100%,979px,4649px
deep acoustic pop,"rgb(130, 148, 26)",100%,522px,10353px
folclore jujeno,"rgb(124, 148, 19)",100%,924px,14678px
tamil indie,"rgb(133, 150, 36)",100%,749px,9651px
brazilian power metal,"rgb(212, 96, 26)",100%,217px,5847px
bemani,"rgb(41, 160, 208)",100%,80px,18137px
dub brasileiro,"rgb(165, 143, 41)",100%,1157px,3440px
post-disco soul,"rgb(165, 125, 53)",100%,1099px,3272px
springfield mo indie,"rgb(140, 136, 42)",100%,536px,11635px
boston hardcore,"rgb(228, 70, 58)",100%,238px,10929px
punk cover,"rgb(217, 103, 13)",100%,292px,3042px
nwothm,"rgb(223, 85, 48)",100%,214px,6772px
italian electronica,"rgb(151, 146, 167)",100%,894px,3960px
pop paraguayo,"rgb(171, 140, 6)",100%,912px,5534px
orthodox chant,"rgb(46, 161, 46)",100%,221px,21064px
psychedelic folk rock,"rgb(133, 137, 54)",100%,574px,13937px
gyerekdalok,"rgb(99, 151, 7)",100%,1000px,12900px
garage punk blues,"rgb(186, 97, 60)",100%,520px,13199px
sanfona,"rgb(179, 127, 38)",100%,892px,10527px
tanzanian hip hop,"rgb(173, 138, 2)",100%,1103px,10344px
sound art,"rgb(75, 124, 176)",100%,238px,16932px
gospel drill,"rgb(150, 144, 5)",100%,1120px,8636px
footwork,"rgb(173, 138, 137)",100%,1134px,2392px
musica portuguesa contemporanea,"rgb(105, 156, 28)",100%,712px,14171px
appalachian folk,"rgb(83, 153, 31)",100%,956px,18797px
vintage chanson,"rgb(76, 149, 7)",100%,822px,20146px
british country,"rgb(134, 146, 5)",100%,555px,10524px
guinean pop,"rgb(180, 137, 15)",100%,1002px,10627px
spiritual jazz,"rgb(110, 131, 96)",100%,678px,16932px
georgian hip hop,"rgb(147, 143, 33)",100%,1070px,6486px
slavic folk metal,"rgb(207, 107, 52)",100%,208px,6253px
indie folk argentino,"rgb(100, 157, 22)",100%,824px,13405px
deep gothic post-punk,"rgb(193, 116, 94)",100%,328px,4731px
vogue,"rgb(183, 130, 116)",100%,1121px,2267px
musica crista reformada,"rgb(121, 150, 16)",100%,465px,13248px
experimental electronic,"rgb(147, 138, 147)",100%,706px,8206px
italian library music,"rgb(111, 154, 164)",100%,616px,13850px
swedish rockabilly,"rgb(202, 112, 16)",100%,628px,9401px
charango,"rgb(138, 141, 70)",100%,960px,14439px
korean superband,"rgb(130, 149, 46)",100%,548px,12327px
austrian metal,"rgb(215, 89, 70)",100%,208px,6512px
austin rock,"rgb(189, 111, 56)",100%,340px,8451px
corridos adictivos,"rgb(160, 136, 1)",100%,995px,13268px
lampung indie,"rgb(159, 141, 28)",100%,605px,7419px
light music,"rgb(64, 151, 168)",100%,319px,19371px
american 21st century classical,"rgb(41, 159, 128)",100%,311px,20469px
christian power metal,"rgb(215, 98, 27)",100%,203px,5428px
bandoneon,"rgb(77, 154, 111)",100%,619px,19859px
sinaloa indie,"rgb(156, 132, 50)",100%,500px,8684px
devon indie,"rgb(142, 141, 13)",100%,548px,10208px
quebec punk,"rgb(216, 96, 18)",100%,387px,6487px
american primitive,"rgb(89, 162, 192)",100%,555px,17362px
remix product,"rgb(228, 111, 33)",100%,756px,1693px
batida,"rgb(190, 128, 88)",100%,1218px,2739px
er ge,"rgb(103, 148, 45)",100%,991px,11771px
polish prog,"rgb(148, 139, 73)",100%,367px,9080px
brazilian ska,"rgb(197, 124, 25)",100%,759px,5453px
tech trance,"rgb(233, 107, 184)",100%,628px,847px
japanese beats,"rgb(150, 129, 111)",100%,1002px,12527px
modern progressive rock,"rgb(137, 142, 69)",100%,313px,10317px
bush ballad,"rgb(97, 151, 8)",100%,930px,15371px
ghettotech,"rgb(179, 131, 134)",100%,1318px,1346px
icelandic hip hop,"rgb(159, 138, 22)",100%,1044px,4776px
venda pop,"rgb(160, 144, 17)",100%,985px,9275px
uk82,"rgb(217, 74, 44)",100%,294px,10439px
guided meditation,"rgb(46, 126, 175)",100%,159px,19141px
samoan pop,"rgb(145, 143, 18)",100%,920px,5813px
black comedy,"rgb(158, 72, 7)",100%,1077px,18510px
norwegian house,"rgb(163, 147, 160)",100%,1127px,1855px
japanese electronic,"rgb(168, 140, 186)",100%,1110px,2205px
cleveland metal,"rgb(223, 80, 52)",100%,225px,8769px
british post-rock,"rgb(125, 145, 182)",100%,277px,11125px
little rock indie,"rgb(163, 131, 20)",100%,465px,9328px
czech folk rock,"rgb(145, 137, 13)",100%,724px,11635px
german prog,"rgb(151, 134, 106)",100%,375px,10072px
manipuri pop,"rgb(131, 150, 28)",100%,824px,8906px
rock of gibraltar,"rgb(130, 138, 17)",100%,587px,14035px
crack rock steady,"rgb(226, 80, 32)",100%,397px,9761px
garage punk,"rgb(223, 75, 67)",100%,214px,8967px
2-step,"rgb(195, 121, 113)",100%,1272px,1908px
hard house,"rgb(235, 100, 165)",100%,1016px,804px
scottish techno,"rgb(187, 141, 204)",100%,1157px,844px
moog,"rgb(91, 141, 165)",100%,579px,15997px
indonesian hardcore,"rgb(217, 83, 76)",100%,383px,8635px
muzica etno,"rgb(174, 141, 4)",100%,1079px,8499px
rap feminino chileno,"rgb(151, 141, 8)",100%,1042px,11621px
fan chant,"rgb(176, 67, 110)",100%,413px,18539px
hungarian metal,"rgb(219, 92, 46)",100%,300px,5252px
chinese indie pop,"rgb(150, 143, 49)",100%,640px,6539px
lancaster pa indie,"rgb(138, 137, 54)",100%,449px,12613px
newcastle indie,"rgb(168, 124, 42)",100%,369px,9255px
nijisanji,"rgb(214, 113, 18)",100%,513px,2739px
guitarra andina,"rgb(126, 154, 87)",100%,1046px,16054px
folklore venezolano,"rgb(160, 137, 12)",100%,948px,15595px
sorani pop,"rgb(158, 130, 14)",100%,763px,11846px
trallpunk,"rgb(218, 89, 13)",100%,286px,9501px
spanish indie folk,"rgb(117, 151, 36)",100%,555px,13014px
jordanian pop,"rgb(167, 131, 14)",100%,771px,8825px
psicodelia chilena,"rgb(126, 141, 74)",100%,747px,14159px
israeli jazz,"rgb(96, 152, 163)",100%,777px,16788px
hungarian punk,"rgb(220, 90, 24)",100%,470px,5608px
candomble,"rgb(98, 142, 49)",100%,709px,17473px
dennery segment,"rgb(172, 141, 32)",100%,1127px,4735px
memphis americana,"rgb(141, 136, 25)",100%,695px,12055px
gqom,"rgb(195, 145, 95)",100%,1235px,1260px
zambian pop,"rgb(178, 135, 5)",100%,920px,7836px
chamber orchestra,"rgb(40, 166, 155)",100%,324px,20751px
slam death metal,"rgb(232, 61, 180)",100%,194px,10096px
new wave of glam metal,"rgb(220, 98, 13)",100%,266px,3957px
muzica crestina,"rgb(122, 150, 18)",100%,511px,12736px
israelite hip hop,"rgb(150, 143, 10)",100%,989px,11597px
rap femenino mexicano,"rgb(160, 140, 6)",100%,1110px,7182px
buffalo ny indie,"rgb(146, 132, 40)",100%,502px,11870px
spanish techno,"rgb(201, 136, 211)",100%,1261px,443px
usbm,"rgb(200, 64, 170)",100%,52px,11472px
berlin school,"rgb(107, 150, 190)",100%,381px,11325px
classic italian folk pop,"rgb(150, 145, 55)",100%,898px,10023px
mexican traditional,"rgb(119, 145, 20)",100%,954px,14640px
dubsteppe,"rgb(201, 128, 125)",100%,1168px,1053px
choral,"rgb(33, 160, 64)",100%,148px,21466px
technical grindcore,"rgb(230, 36, 134)",100%,129px,11125px
musica bautista,"rgb(75, 164, 34)",100%,577px,16886px
rap metal espanol,"rgb(222, 93, 29)",100%,532px,5112px
thall,"rgb(219, 92, 117)",100%,221px,5022px
kenyan hip hop,"rgb(148, 146, 20)",100%,1134px,7504px
russian ccm,"rgb(138, 147, 12)",100%,525px,9760px
graz indie,"rgb(162, 134, 23)",100%,622px,6513px
korean electronic,"rgb(185, 138, 163)",100%,942px,2640px
japanese boom bap,"rgb(179, 121, 40)",100%,979px,10219px
cartoni animati,"rgb(179, 125, 21)",100%,824px,5122px
belgian metal,"rgb(219, 80, 89)",100%,175px,8180px
dancehall chileno,"rgb(182, 139, 2)",100%,1134px,5849px
neo kyma,"rgb(104, 152, 37)",100%,619px,16300px
chinese soundtrack,"rgb(65, 158, 177)",100%,346px,15009px
rock en asturiano,"rgb(200, 109, 14)",100%,459px,7568px
emotional black metal,"rgb(172, 101, 188)",100%,48px,9686px
uk christian rap,"rgb(161, 139, 10)",100%,1016px,11943px
dubstep product,"rgb(198, 124, 107)",100%,839px,2339px
jain bhajan,"rgb(136, 133, 5)",100%,766px,15039px
magyar retro dance,"rgb(192, 123, 30)",100%,894px,3628px
ukulele cover,"rgb(82, 168, 139)",100%,1242px,15468px
modern psychedelic folk,"rgb(114, 147, 101)",100%,418px,13924px
greek contemporary classical,"rgb(74, 153, 115)",100%,485px,18252px
makossa,"rgb(189, 128, 29)",100%,954px,7787px
cook islands pop,"rgb(176, 134, 12)",100%,928px,5887px
finnish new wave,"rgb(193, 110, 23)",100%,541px,9537px
folklore chileno,"rgb(129, 137, 12)",100%,908px,14232px
sound effects,"rgb(140, 0, 153)",100%,159px,15841px
kurdish rock,"rgb(142, 141, 18)",100%,687px,10855px
waiata mo tamariki,"rgb(99, 154, 9)",100%,948px,13430px
naija old school,"rgb(188, 128, 8)",100%,998px,7057px
nuevo tango,"rgb(79, 156, 114)",100%,634px,19543px
chakra,"rgb(40, 127, 203)",100%,95px,19801px
tearout,"rgb(215, 123, 79)",100%,722px,5768px
greek fem rap,"rgb(159, 148, 9)",100%,1046px,8911px
indie cristao,"rgb(125, 150, 15)",100%,498px,11510px
dominican indie,"rgb(154, 136, 67)",100%,881px,7380px
psych gaze,"rgb(171, 126, 130)",100%,190px,8658px
italian punk,"rgb(223, 85, 27)",100%,371px,7811px
portland metal,"rgb(213, 77, 126)",100%,131px,10537px
japanese psychedelic,"rgb(151, 118, 127)",100%,379px,13503px
hungarian underground rap,"rgb(175, 125, 30)",100%,1098px,11448px
folklore uruguayo,"rgb(119, 144, 9)",100%,969px,17112px
cueca chilena,"rgb(155, 130, 2)",100%,766px,12761px
peruvian punk,"rgb(210, 98, 28)",100%,379px,9067px
tamazight,"rgb(174, 128, 14)",100%,918px,10831px
sambass,"rgb(201, 136, 114)",100%,1099px,2020px
lldm,"rgb(116, 147, 15)",100%,592px,14048px
jazz harp,"rgb(77, 158, 132)",100%,709px,18223px
cruise,"rgb(194, 128, 28)",100%,1197px,6360px
jig and reel,"rgb(106, 161, 116)",100%,722px,17444px
flick hop,"rgb(188, 114, 27)",100%,973px,8264px
marwadi pop,"rgb(226, 108, 4)",100%,914px,5264px
brazilian modern jazz,"rgb(102, 152, 130)",100%,831px,16140px
comedia,"rgb(117, 110, 4)",100%,1148px,18797px
festigal,"rgb(177, 133, 2)",100%,622px,7048px
ukrainian classical piano,"rgb(27, 162, 182)",100%,350px,22052px
yugoslav new wave,"rgb(177, 119, 29)",100%,722px,8024px
power blues-rock,"rgb(176, 121, 35)",100%,587px,10720px
technical melodic death metal,"rgb(239, 61, 96)",100%,199px,7121px
northeast indian indie,"rgb(141, 145, 33)",100%,660px,8342px
scottish hip hop,"rgb(173, 128, 36)",100%,932px,8213px
american melodeath,"rgb(234, 69, 94)",100%,163px,6229px
slushwave,"rgb(141, 129, 177)",100%,381px,10783px
karaoke,"rgb(130, 152, 118)",100%,854px,3686px
mongolian hip hop,"rgb(157, 140, 35)",100%,1121px,4362px
kids hip hop,"rgb(158, 136, 13)",100%,1118px,4419px
rosario indie,"rgb(169, 134, 42)",100%,525px,6365px
deep idm,"rgb(160, 128, 176)",100%,833px,5721px
musica costarricense,"rgb(132, 144, 32)",100%,858px,12688px
kuduro,"rgb(176, 142, 127)",100%,1298px,1865px
cameroonian pop,"rgb(178, 137, 9)",100%,1012px,11313px
norwegian alternative rock,"rgb(183, 110, 74)",100%,284px,9687px
