genre,font_size,color,colors_rgb,top,left
gambian hip hop,100%,#a2900c,"rgb(162, 144, 12)",8899px,1098px
lexington ky indie,100%,#95821f,"rgb(149, 130, 31)",10708px,668px
oulu metal,100%,#dc594f,"rgb(220, 89, 79)",6960px,161px
library music,100%,#609093,"rgb(96, 144, 147)",15612px,664px
nordic post-rock,100%,#7694ae,"rgb(118, 148, 174)",11795px,161px
funk capixaba,100%,#c38406,"rgb(195, 132, 6)",6744px,1286px
phleng phuea chiwit,100%,#859009,"rgb(133, 144, 9)",9873px,766px
corrosion,100%,#bb7353,"rgb(187, 115, 83)",3887px,292px
jesus movement,100%,#788b1a,"rgb(120, 139, 26)",13273px,595px
dark jazz,100%,#6094a8,"rgb(96, 148, 168)",13555px,361px
post-black metal,100%,#b753b2,"rgb(183, 83, 178)",10487px,50px
indie rock peruano,100%,#b08129,"rgb(176, 129, 41)",6561px,428px
taiwanese indie,100%,#968413,"rgb(150, 132, 19)",8943px,692px
kentucky punk,100%,#e24b39,"rgb(226, 75, 57)",10046px,256px
jackin' house,100%,#d4738c,"rgb(212, 115, 140)",644px,1299px
new orleans indie,100%,#918639,"rgb(145, 134, 57)",12228px,476px
zimdancehall,100%,#b88c12,"rgb(184, 140, 18)",9200px,1025px
rare groove,100%,#a27642,"rgb(162, 118, 66)",11066px,938px
vintage hollywood,100%,#4c8c1e,"rgb(76, 140, 30)",20605px,780px
hardstyle,100%,#e3712f,"rgb(227, 113, 47)",2480px,489px
russian folk,100%,#638126,"rgb(99, 129, 38)",19515px,538px
jazz double bass,100%,#4d9474,"rgb(77, 148, 116)",18338px,796px
forro gospel,100%,#c08508,"rgb(192, 133, 8)",7675px,912px
vietnamese pop,100%,#6e9d09,"rgb(110, 157, 9)",13466px,478px
modern enka,100%,#849920,"rgb(132, 153, 32)",12104px,399px
nagpuri pop,100%,#c17706,"rgb(193, 119, 6)",7627px,881px
coco,100%,#b07c05,"rgb(176, 124, 5)",11979px,1033px
british black metal,100%,#d44373,"rgb(212, 67, 115)",9586px,95px
new mexico music,100%,#848d0d,"rgb(132, 141, 13)",11833px,869px
jazz organ,100%,#778a83,"rgb(119, 138, 131)",15985px,871px
classic azeri pop,100%,#789125,"rgb(120, 145, 37)",15267px,543px
experimental jazz,100%,#898695,"rgb(137, 134, 149)",12811px,582px
hungarian folk,100%,#77922f,"rgb(119, 146, 47)",13950px,809px
voetbal,100%,#b07415,"rgb(176, 116, 21)",9117px,560px
spiritual hip hop,100%,#ae7912,"rgb(174, 121, 18)",9400px,916px
novelty,100%,#81810f,"rgb(129, 129, 15)",13540px,966px
indy indie,100%,#8a8c20,"rgb(138, 140, 32)",11994px,491px
japanese dream pop,100%,#9a8962,"rgb(154, 137, 98)",8513px,432px
palestinian pop,100%,#84911e,"rgb(132, 145, 30)",11760px,802px
kentucky metal,100%,#d1535d,"rgb(209, 83, 93)",10058px,215px
432hz,100%,#20a3da,"rgb(32, 163, 218)",19113px,292px
ambient techno,100%,#958bc4,"rgb(149, 139, 196)",4907px,837px
swing revival,100%,#8a7d1d,"rgb(138, 125, 29)",14195px,922px
neo metal,100%,#da5e2a,"rgb(218, 94, 42)",5378px,375px
vintage tango,100%,#4e9347,"rgb(78, 147, 71)",20187px,969px
cape verdean folk,100%,#888f0a,"rgb(136, 143, 10)",13644px,850px
sami,100%,#6d9521,"rgb(109, 149, 33)",12699px,569px
bard,100%,#5d910e,"rgb(93, 145, 14)",16944px,883px
lagu bali,100%,#8b985b,"rgb(139, 152, 91)",9451px,886px
acidcore,100%,#e17bb2,"rgb(225, 123, 178)",945px,1021px
rock keyboard,100%,#868572,"rgb(134, 133, 114)",13162px,545px
action rock,100%,#e25021,"rgb(226, 80, 33)",7527px,183px
west australian hip hop,100%,#ac840d,"rgb(172, 132, 13)",9126px,1023px
folclor afrocolombiano,100%,#aa8711,"rgb(170, 135, 17)",12925px,1094px
german tech house,100%,#b193c8,"rgb(177, 147, 200)",273px,1423px
christian hard rock,100%,#cd6e18,"rgb(205, 110, 24)",4448px,264px
deathrock,100%,#c46752,"rgb(196, 103, 82)",6401px,319px
japanese blues,100%,#a67a1a,"rgb(166, 122, 26)",11894px,692px
chinese traditional,100%,#26a3b6,"rgb(38, 163, 182)",19010px,186px
novo rock gaucho,100%,#ab7e18,"rgb(171, 126, 24)",7665px,436px
underground power pop,100%,#b07911,"rgb(176, 121, 17)",8267px,455px
norrlandsk hip hop,100%,#a38716,"rgb(163, 135, 22)",11237px,998px
deep happy hardcore,100%,#e4735e,"rgb(228, 115, 94)",1564px,782px
russian synthpop,100%,#b1884b,"rgb(177, 136, 75)",2767px,771px
brazilian percussion,100%,#b07842,"rgb(176, 120, 66)",12614px,1040px
italian trance,100%,#d57ea9,"rgb(213, 126, 169)",947px,883px
jazz metal,100%,#b66978,"rgb(182, 105, 120)",10598px,311px
musical advocacy,100%,#8e870b,"rgb(142, 135, 11)",9377px,496px
griot,100%,#9b8a2b,"rgb(155, 138, 43)",12299px,1002px
melodic power metal,100%,#db5e20,"rgb(219, 94, 32)",4174px,230px
musica popular uruguaya,100%,#8b880b,"rgb(139, 136, 11)",13815px,863px
canterbury scene,100%,#858154,"rgb(133, 129, 84)",13899px,472px
musica tropical guatemalteca,100%,#aa942d,"rgb(170, 148, 45)",8124px,1127px
hamburg indie,100%,#a3841b,"rgb(163, 132, 27)",7888px,553px
japanese vocal jazz,100%,#5a9a0e,"rgb(90, 154, 14)",16592px,787px
zilizopendwa,100%,#a9840f,"rgb(169, 132, 15)",12626px,964px
dub reggae,100%,#9d996d,"rgb(157, 153, 109)",1555px,1218px
alpine yodeling,100%,#ac7b0b,"rgb(172, 123, 11)",8673px,732px
darkstep,100%,#e76d9c,"rgb(231, 109, 156)",1966px,813px
swedish stoner rock,100%,#bd723f,"rgb(189, 114, 63)",11151px,262px
austin metal,100%,#d95560,"rgb(217, 85, 96)",8365px,201px
straight-ahead jazz,100%,#539776,"rgb(83, 151, 118)",18522px,865px
neurostep,100%,#e27a97,"rgb(226, 122, 151)",1835px,920px
experimental indie,100%,#8b865b,"rgb(139, 134, 91)",11622px,643px
jazz drums,100%,#6e805f,"rgb(110, 128, 95)",17575px,888px
classic romanian pop,100%,#bc8119,"rgb(188, 129, 25)",2741px,985px
kora,100%,#70996e,"rgb(112, 153, 110)",16042px,948px
outsider house,100%,#a687be,"rgb(166, 135, 190)",3210px,946px
trance mexicano,100%,#cc82b5,"rgb(204, 130, 181)",1149px,1159px
post-doom metal,100%,#be5b96,"rgb(190, 91, 150)",11374px,127px
miami metal,100%,#d45858,"rgb(212, 88, 88)",8500px,232px
draga,100%,#bb8218,"rgb(187, 130, 24)",2841px,998px
spanish post-punk,100%,#bf7154,"rgb(191, 113, 84)",6082px,342px
beatboxing,100%,#a68239,"rgb(166, 130, 57)",5379px,1059px
nice indie,100%,#ad8236,"rgb(173, 130, 54)",7147px,500px
indie valenciana,100%,#af831a,"rgb(175, 131, 26)",6647px,463px
indian underground rap,100%,#949209,"rgb(148, 146, 9)",8685px,1112px
persian electronic,100%,#969695,"rgb(150, 150, 149)",3329px,1055px
marathi devotional,100%,#828e0a,"rgb(130, 142, 10)",12700px,822px
pinoy alternative rock,100%,#aa7723,"rgb(170, 119, 35)",10599px,550px
underground amapiano,100%,#949f6f,"rgb(148, 159, 111)",1469px,1311px
haitian gospel,100%,#988a0c,"rgb(152, 138, 12)",10684px,597px
hamilton on indie,100%,#a0802b,"rgb(160, 128, 43)",8573px,550px
amharic pop,100%,#ad8607,"rgb(173, 134, 7)",6847px,896px
harp,100%,#39a8a1,"rgb(57, 168, 161)",19457px,727px
romanian electronic,100%,#b28cad,"rgb(178, 140, 173)",847px,1354px
lagu sunda,100%,#909616,"rgb(144, 150, 22)",7565px,787px
musica cabo-verdiana,100%,#9e8818,"rgb(158, 136, 24)",9712px,867px
ukulele,100%,#619d65,"rgb(97, 157, 101)",15480px,1055px
ramonescore,100%,#e45719,"rgb(228, 87, 25)",5342px,296px
nueva trova chilena,100%,#679c0e,"rgb(103, 156, 14)",15583px,809px
polish electronica,100%,#9a8f86,"rgb(154, 143, 134)",4416px,775px
christian a cappella,100%,#529309,"rgb(82, 147, 9)",16300px,432px
funk mexicano,100%,#ba7c55,"rgb(186, 124, 85)",4179px,908px
multidisciplinary,100%,#898c60,"rgb(137, 140, 96)",11052px,595px
dallas indie,100%,#9d831f,"rgb(157, 131, 31)",8882px,472px
musica para criancas,100%,#6c940f,"rgb(108, 148, 15)",13839px,983px
bajki,100%,#44894a,"rgb(68, 137, 74)",16993px,802px
louisiana metal,100%,#d0575d,"rgb(208, 87, 93)",11565px,172px
hip hop timur,100%,#93940a,"rgb(147, 148, 10)",8436px,1064px
schranz,100%,#de5fc6,"rgb(222, 95, 198)",646px,1006px
neotango,100%,#85915c,"rgb(133, 145, 92)",7317px,944px
cornetas y tambores,100%,#5c89ad,"rgb(92, 137, 173)",18539px,513px
spa,100%,#5945c6,"rgb(89, 69, 198)",18281px,129px
brisbane punk,100%,#e45020,"rgb(228, 80, 32)",8561px,319px
orquesta tipica,100%,#4f9256,"rgb(79, 146, 86)",19957px,1000px
guatemalan pop,100%,#a98c0e,"rgb(169, 140, 14)",6780px,983px
deep norteno,100%,#b48b07,"rgb(180, 139, 7)",10614px,983px
kent indie,100%,#a87a27,"rgb(168, 122, 39)",8598px,605px
soviet synthpop,100%,#b27f1c,"rgb(178, 127, 28)",3616px,820px
deep soundtrack,100%,#35a2c2,"rgb(53, 162, 194)",16989px,217px
chant religieux,100%,#3ea31c,"rgb(62, 163, 28)",18826px,321px
dub techno,100%,#8c91d3,"rgb(140, 145, 211)",2870px,1066px
warm drone,100%,#4591cf,"rgb(69, 145, 207)",17821px,83px
psychedelic punk,100%,#bb6562,"rgb(187, 101, 98)",10856px,317px
south african choral,100%,#678704,"rgb(103, 135, 4)",16673px,671px
musiqi-ye zanan,100%,#619811,"rgb(97, 152, 17)",16817px,589px
varmland rock,100%,#bd7217,"rgb(189, 114, 23)",7048px,397px
campursari,100%,#989912,"rgb(152, 153, 18)",7774px,690px
gothenburg hip hop,100%,#a18b08,"rgb(161, 139, 8)",10157px,1046px
belarusian rock,100%,#bc7415,"rgb(188, 116, 21)",6303px,562px
belarusian electronic,100%,#be8db4,"rgb(190, 141, 180)",1112px,1101px
classic hungarian rock,100%,#a77616,"rgb(167, 118, 22)",10818px,507px
polca paraguaya,100%,#649d5e,"rgb(100, 157, 94)",17633px,896px
czech country,100%,#838c06,"rgb(131, 140, 6)",13479px,714px
chamber folk,100%,#4da139,"rgb(77, 161, 57)",16686px,472px
german opera,100%,#318f3d,"rgb(49, 143, 61)",21688px,284px
bangladeshi rock,100%,#ac7c11,"rgb(172, 124, 17)",7640px,564px
college a cappella,100%,#7c9104,"rgb(124, 145, 4)",13862px,529px
musica andina colombiana,100%,#889324,"rgb(136, 147, 36)",13442px,1059px
ghent indie,100%,#8a8d44,"rgb(138, 141, 68)",9464px,619px
classic luk thung,100%,#729904,"rgb(114, 153, 4)",13764px,589px
scratch,100%,#ab714b,"rgb(171, 113, 75)",5659px,1145px
neo-pagan,100%,#65982d,"rgb(101, 152, 45)",13725px,511px
afro-cuban percussion,100%,#9d785a,"rgb(157, 120, 90)",16169px,1059px
singing bowl,100%,#27a8bb,"rgb(39, 168, 187)",19543px,156px
north carolina metal,100%,#d05952,"rgb(208, 89, 82)",9810px,215px
portland punk,100%,#cf593a,"rgb(207, 89, 58)",10244px,324px
persian underground hip hop,100%,#ab860f,"rgb(171, 134, 15)",11758px,936px
afghan rap,100%,#ab8a19,"rgb(171, 138, 25)",7007px,1121px
orchestral performance,100%,#2c9684,"rgb(44, 150, 132)",20861px,363px
spanish folk,100%,#779421,"rgb(119, 148, 33)",14566px,628px
png pop,100%,#9d8a14,"rgb(157, 138, 20)",4404px,886px
bouzouki,100%,#6e985e,"rgb(110, 152, 94)",15322px,768px
korean worship,100%,#639e41,"rgb(99, 158, 65)",14207px,478px
australian ska,100%,#c66f15,"rgb(198, 111, 21)",7712px,744px
long island punk,100%,#dc551e,"rgb(220, 85, 30)",9291px,269px
portuguese indie,100%,#8b8e45,"rgb(139, 142, 69)",9711px,610px
exotica,100%,#648c73,"rgb(100, 140, 115)",16960px,647px
oud,100%,#569e87,"rgb(86, 158, 135)",18522px,816px
truck-driving country,100%,#7b8813,"rgb(123, 136, 19)",13607px,881px
oth indie,100%,#928d1d,"rgb(146, 141, 29)",9243px,468px
choro,100%,#619e90,"rgb(97, 158, 144)",17793px,912px
turkish metal,100%,#c7664b,"rgb(199, 102, 75)",6761px,336px
pinoy praise,100%,#74970b,"rgb(116, 151, 11)",12030px,444px
dreampunk,100%,#7788be,"rgb(119, 136, 190)",12938px,271px
one-person band,100%,#9c7f47,"rgb(156, 127, 71)",9997px,597px
detroit techno,100%,#b386bb,"rgb(179, 134, 187)",1407px,1193px
symfonicky orchestr,100%,#429aa5,"rgb(66, 154, 165)",18596px,188px
british dance band,100%,#428f50,"rgb(66, 143, 80)",20318px,816px
beats,100%,#8194b8,"rgb(129, 148, 184)",3033px,1168px
swiss house,100%,#b891c5,"rgb(184, 145, 197)",201px,1381px
polish death metal,100%,#e93b70,"rgb(233, 59, 112)",8524px,134px
emo punk,100%,#bb702f,"rgb(187, 112, 47)",10022px,346px
musica eletronica gospel,100%,#c08731,"rgb(192, 135, 49)",2855px,744px
chinese talent show,100%,#8d942d,"rgb(141, 148, 45)",8549px,719px
tennessee metal,100%,#d45466,"rgb(212, 84, 102)",9068px,199px
taiwan rock,100%,#b6791b,"rgb(182, 121, 27)",5441px,411px
neo-rockabilly,100%,#c07013,"rgb(192, 112, 19)",11139px,766px
bardcore,100%,#7f98b0,"rgb(127, 152, 176)",4821px,798px
musica popular amazonense,100%,#aa890e,"rgb(170, 137, 14)",11127px,908px
lebanese indie,100%,#7c9338,"rgb(124, 147, 56)",10892px,631px
bisaya rap,100%,#89971c,"rgb(137, 151, 28)",8973px,1094px
slam poetry,100%,#767d08,"rgb(118, 125, 8)",15325px,1077px
gaita zuliana,100%,#c1740c,"rgb(193, 116, 12)",12299px,1055px
nwocr,100%,#d26913,"rgb(210, 105, 19)",5137px,288px
musica michoacana,100%,#94920c,"rgb(148, 146, 12)",13582px,975px
chinese audiophile,100%,#5aa306,"rgb(90, 163, 6)",14458px,584px
powerviolence,100%,#dd357c,"rgb(221, 53, 124)",10817px,183px
progressive doom,100%,#b27659,"rgb(178, 118, 89)",9166px,159px
trio huasteco,100%,#7c9a0b,"rgb(124, 154, 11)",15347px,918px
taiwan campus folk,100%,#609c08,"rgb(96, 156, 8)",14345px,444px
louvor icm,100%,#6aa132,"rgb(106, 161, 50)",13150px,426px
austrian dnb,100%,#d7848d,"rgb(215, 132, 141)",1959px,966px
norsk lovsang,100%,#7e910d,"rgb(126, 145, 13)",10893px,436px
classic hungarian pop,100%,#958409,"rgb(149, 132, 9)",10477px,739px
polish black metal,100%,#d74182,"rgb(215, 65, 130)",9291px,90px
marimba orquesta,100%,#a19652,"rgb(161, 150, 82)",9102px,1163px
puerto rican folk,100%,#8f870c,"rgb(143, 135, 12)",14927px,993px
musica indigena latinoamericana,100%,#8f8f0e,"rgb(143, 143, 14)",13143px,914px
future ambient,100%,#8c97b8,"rgb(140, 151, 184)",3714px,962px
old west,100%,#8292c1,"rgb(130, 146, 193)",14256px,890px
armenian hip hop,100%,#a58808,"rgb(165, 136, 8)",8862px,1035px
uk bass,100%,#b886ac,"rgb(184, 134, 172)",2380px,1138px
deep christian rock,100%,#8d8215,"rgb(141, 130, 21)",9194px,574px
jazzy dnb,100%,#d98bb6,"rgb(217, 139, 182)",1015px,1127px
marathi remix,100%,#e5631e,"rgb(229, 99, 30)",3866px,869px
polish indie rock,100%,#af7d34,"rgb(175, 125, 52)",6450px,418px
classic japanese jazz,100%,#6a8f7d,"rgb(106, 143, 125)",14964px,709px
visor,100%,#47980b,"rgb(71, 152, 11)",18625px,865px
ok indie,100%,#948627,"rgb(148, 134, 39)",10659px,532px
punk euskera,100%,#e15a1d,"rgb(225, 90, 29)",5662px,426px
turkish electronic,100%,#9393a9,"rgb(147, 147, 169)",3944px,900px
canadian blues,100%,#97800e,"rgb(151, 128, 14)",12438px,724px
pennsylvania hardcore,100%,#e54839,"rgb(229, 72, 57)",11201px,249px
piano mpb,100%,#589d9d,"rgb(88, 157, 157)",17649px,777px
afro-funk,100%,#ba7b38,"rgb(186, 123, 56)",8813px,1040px
western mass indie,100%,#9a8135,"rgb(154, 129, 53)",11784px,483px
football,100%,#ac5063,"rgb(172, 80, 99)",15624px,487px
stockholm indie,100%,#a38432,"rgb(163, 132, 50)",8756px,405px
vocaloid metal,100%,#d76932,"rgb(215, 105, 50)",2970px,317px
musica baiana,100%,#80941b,"rgb(128, 148, 27)",11091px,894px
beatdown,100%,#e4532c,"rgb(228, 83, 44)",9723px,336px
paraguayan rock,100%,#bc7917,"rgb(188, 121, 23)",6217px,582px
irish neo-traditional,100%,#6fa133,"rgb(111, 161, 51)",15325px,513px
nl folk,100%,#898f0e,"rgb(137, 143, 14)",11089px,656px
dark folk,100%,#569a82,"rgb(86, 154, 130)",15181px,371px
wassoulou,100%,#9c8a17,"rgb(156, 138, 23)",11152px,969px
nz christian,100%,#878d0a,"rgb(135, 141, 10)",10598px,432px
nz children's music,100%,#6d9717,"rgb(109, 151, 23)",13029px,1031px
tamaulipas indie,100%,#bb7a0d,"rgb(187, 122, 13)",5513px,420px
musica afroperuana,100%,#908b19,"rgb(144, 139, 25)",13503px,1103px
ghanaian gospel,100%,#aa8a06,"rgb(170, 138, 6)",9352px,747px
ohio indie,100%,#a07c2d,"rgb(160, 124, 45)",11276px,399px
hindustani vocal,100%,#678f3b,"rgb(103, 143, 59)",18453px,465px
grebo,100%,#c26929,"rgb(194, 105, 41)",5338px,416px
pop costarricense,100%,#a98e09,"rgb(169, 142, 9)",10551px,1036px
alt-idol,100%,#df6c19,"rgb(223, 108, 25)",2511px,440px
bouyon,100%,#b88a09,"rgb(184, 138, 9)",4278px,1096px
musica catarinense,100%,#889417,"rgb(136, 148, 23)",10440px,818px
dc indie,100%,#a1823b,"rgb(161, 130, 59)",9129px,509px
italo house,100%,#a7847c,"rgb(167, 132, 124)",3128px,944px
progressive alternative,100%,#b77a30,"rgb(183, 122, 48)",7147px,326px
atmospheric post-metal,100%,#aa70a2,"rgb(170, 112, 162)",10647px,150px
birmingham indie,100%,#a7821e,"rgb(167, 130, 30)",7444px,432px
minimal dub,100%,#bd8bd7,"rgb(189, 139, 215)",1382px,1092px
dutch moombahton,100%,#b3883b,"rgb(179, 136, 59)",2855px,1212px
indian electronic,100%,#a19198,"rgb(161, 145, 152)",4154px,998px
waiata maori,100%,#769111,"rgb(118, 145, 17)",11598px,768px
british comedy,100%,#6b7208,"rgb(107, 114, 8)",18022px,1118px
jazz catala,100%,#619677,"rgb(97, 150, 119)",17821px,883px
german hyperpop,100%,#989a09,"rgb(152, 154, 9)",5166px,835px
tuareg guitar,100%,#968e3b,"rgb(150, 142, 59)",13180px,850px
neofolk,100%,#81826c,"rgb(129, 130, 108)",11565px,324px
japanese heavy metal,100%,#dc582d,"rgb(220, 88, 45)",6997px,245px
australian ambient,100%,#5293c8,"rgb(82, 147, 200)",15038px,361px
halftime dnb,100%,#be847d,"rgb(190, 132, 125)",3829px,960px
zambian hip hop,100%,#b18b06,"rgb(177, 139, 6)",11078px,1035px
skramz,100%,#c95773,"rgb(201, 87, 115)",11387px,184px
melodic black metal,100%,#d74c80,"rgb(215, 76, 128)",9042px,94px
musica paraibana,100%,#948d13,"rgb(148, 141, 19)",10490px,854px
kazakh indie,100%,#90902b,"rgb(144, 144, 43)",7132px,894px
british grindcore,100%,#e32982,"rgb(227, 41, 130)",11150px,97px
spanish noise pop,100%,#b37d4f,"rgb(179, 125, 79)",6973px,359px
balkan drill,100%,#a1920b,"rgb(161, 146, 11)",6209px,1002px
musica mixteca,100%,#a98f1c,"rgb(169, 143, 28)",11535px,1036px
japanese indie folk,100%,#6b9833,"rgb(107, 152, 51)",14664px,634px
belgian indie rock,100%,#a67b56,"rgb(166, 123, 86)",8279px,403px
ska catala,100%,#c17c0a,"rgb(193, 124, 10)",5500px,846px
blues latinoamericano,100%,#a97d19,"rgb(169, 125, 25)",10917px,634px
san antonio rap,100%,#919408,"rgb(145, 148, 8)",6672px,1059px
jazz worship,100%,#719993,"rgb(113, 153, 147)",10539px,687px
maine indie,100%,#8e8929,"rgb(142, 137, 41)",12451px,522px
musique militaire,100%,#677451,"rgb(103, 116, 81)",20043px,507px
indonesian psychedelia,100%,#918f25,"rgb(145, 143, 37)",9636px,589px
deep disco,100%,#b4732f,"rgb(180, 115, 47)",4252px,1066px
indie emo,100%,#b97245,"rgb(185, 114, 69)",8660px,505px
utah indie,100%,#888e1a,"rgb(136, 142, 26)",10269px,470px
ilahiler,100%,#6c9212,"rgb(108, 146, 18)",15296px,562px
c-pop girl group,100%,#b78414,"rgb(183, 132, 20)",4519px,698px
dansei seiyu,100%,#c47316,"rgb(196, 115, 22)",4288px,472px
chinese worship,100%,#6b991e,"rgb(107, 153, 30)",13282px,432px
viral pop brasileiro,100%,#93960b,"rgb(147, 150, 11)",9811px,1042px
telugu devotional,100%,#90890d,"rgb(144, 137, 13)",14874px,928px
bay area hip hop,100%,#a48709,"rgb(164, 135, 9)",5067px,1125px
tinku,100%,#ac800c,"rgb(172, 128, 12)",11722px,867px
jazz vibraphone,100%,#5a965d,"rgb(90, 150, 93)",17448px,934px
musica guerrerense,100%,#8b8f09,"rgb(139, 143, 9)",13379px,1094px
sinhala rap,100%,#a09310,"rgb(160, 147, 16)",8724px,1038px
greek swing,100%,#7e9228,"rgb(126, 146, 40)",12798px,829px
new orleans americana,100%,#7a9110,"rgb(122, 145, 16)",14433px,761px
polynesian hip hop,100%,#a78503,"rgb(167, 133, 3)",7799px,1068px
bruneian pop,100%,#8b9036,"rgb(139, 144, 54)",8169px,706px
york indie,100%,#a97d15,"rgb(169, 125, 21)",9304px,332px
dancehall colombiano,100%,#b68803,"rgb(182, 136, 3)",4706px,1204px
rochester ny indie,100%,#a07c29,"rgb(160, 124, 41)",11189px,472px
black 'n' roll,100%,#e23c79,"rgb(226, 60, 121)",9364px,102px
cinematic post-rock,100%,#7595c9,"rgb(117, 149, 201)",11077px,204px
italian gothic metal,100%,#c96e3a,"rgb(201, 110, 58)",6168px,186px
epunk,100%,#b26746,"rgb(178, 103, 70)",8781px,371px
instrumental progressive metal,100%,#ca6ebe,"rgb(202, 110, 190)",5526px,262px
deep soft rock,100%,#838d23,"rgb(131, 141, 35)",9233px,732px
canadian indigenous,100%,#7d8e27,"rgb(125, 142, 39)",11101px,719px
idaho indie,100%,#a07f3b,"rgb(160, 127, 59)",10991px,395px
sci-fi metal,100%,#c96060,"rgb(201, 96, 96)",6885px,152px
chasidic pop,100%,#a8800c,"rgb(168, 128, 12)",9612px,602px
italian gothic,100%,#b47c52,"rgb(180, 124, 82)",5872px,284px
drill beats,100%,#76a4ad,"rgb(118, 164, 173)",2538px,1221px
gothic alternative,100%,#d26b0d,"rgb(210, 107, 13)",4419px,305px
tunantada,100%,#a78808,"rgb(167, 136, 8)",13827px,914px
death 'n' roll,100%,#e7476e,"rgb(231, 71, 110)",9562px,175px
rockabilly en espanol,100%,#be7319,"rgb(190, 115, 25)",8709px,640px
polish synthpop,100%,#a18839,"rgb(161, 136, 57)",5539px,595px
montenegrin pop,100%,#b77c09,"rgb(183, 124, 9)",6335px,805px
punk chileno,100%,#dc5d1f,"rgb(220, 93, 31)",9117px,342px
gospel reggae,100%,#9b8f0e,"rgb(155, 143, 14)",6822px,995px
raggatek,100%,#ea7a78,"rgb(234, 122, 120)",1535px,918px
lithuanian hip hop,100%,#a28919,"rgb(162, 137, 25)",5030px,1096px
warrington indie,100%,#b47b2b,"rgb(180, 123, 43)",5872px,434px
scouse rap,100%,#948a03,"rgb(148, 138, 3)",9663px,1123px
musica yucateca,100%,#619613,"rgb(97, 150, 19)",16702px,869px
czech metal,100%,#de593b,"rgb(222, 89, 59)",6278px,266px
sepedi pop,100%,#bb8511,"rgb(187, 133, 17)",4649px,979px
deep acoustic pop,100%,#82941a,"rgb(130, 148, 26)",10353px,522px
folclore jujeno,100%,#7c9413,"rgb(124, 148, 19)",14678px,924px
tamil indie,100%,#859624,"rgb(133, 150, 36)",9651px,749px
brazilian power metal,100%,#d4601a,"rgb(212, 96, 26)",5847px,217px
bemani,100%,#29a0d0,"rgb(41, 160, 208)",18137px,80px
dub brasileiro,100%,#a58f29,"rgb(165, 143, 41)",3440px,1157px
post-disco soul,100%,#a57d35,"rgb(165, 125, 53)",3272px,1099px
springfield mo indie,100%,#8c882a,"rgb(140, 136, 42)",11635px,536px
boston hardcore,100%,#e4463a,"rgb(228, 70, 58)",10929px,238px
punk cover,100%,#d9670d,"rgb(217, 103, 13)",3042px,292px
nwothm,100%,#df5530,"rgb(223, 85, 48)",6772px,214px
italian electronica,100%,#9792a7,"rgb(151, 146, 167)",3960px,894px
pop paraguayo,100%,#ab8c06,"rgb(171, 140, 6)",5534px,912px
orthodox chant,100%,#2ea12e,"rgb(46, 161, 46)",21064px,221px
psychedelic folk rock,100%,#858936,"rgb(133, 137, 54)",13937px,574px
gyerekdalok,100%,#639707,"rgb(99, 151, 7)",12900px,1000px
garage punk blues,100%,#ba613c,"rgb(186, 97, 60)",13199px,520px
sanfona,100%,#b37f26,"rgb(179, 127, 38)",10527px,892px
tanzanian hip hop,100%,#ad8a02,"rgb(173, 138, 2)",10344px,1103px
